tick,timestamp,speed_ms,location_x,location_y,control_mode,collision,lane_invasion,is_avoiding
1,0.0012362003326416016,3.22,87.53,7.83,autopilot,False,False,False
2,0.024316072463989258,3.29,87.62,7.83,autopilot,False,False,False
3,0.04821300506591797,3.35,87.7,7.83,autopilot,False,False,False
4,0.0697476863861084,3.4,87.78,7.83,autopilot,False,False,False
5,0.09181809425354004,3.45,87.84,7.83,autopilot,False,False,False
6,0.11343002319335938,3.5,87.93,7.83,autopilot,False,False,False
7,0.13771581649780273,3.56,88.01,7.84,autopilot,False,False,False
8,0.16156458854675293,3.62,88.1,7.84,autopilot,False,False,False
9,0.18574738502502441,3.68,88.19,7.84,autopilot,False,False,False
10,0.20885658264160156,3.73,88.27,7.84,autopilot,False,False,False
11,0.23229670524597168,3.78,88.36,7.84,autopilot,False,False,False
12,0.2557187080383301,3.84,88.45,7.84,autopilot,False,False,False
13,0.27865147590637207,3.89,88.54,7.84,autopilot,False,False,False
14,0.30162787437438965,3.94,88.63,7.84,autopilot,False,False,False
15,0.3249688148498535,4.0,88.72,7.85,autopilot,False,False,False
16,0.3478238582611084,4.05,88.82,7.85,autopilot,False,False,False
17,0.37079882621765137,4.1,88.91,7.85,autopilot,False,False,False
18,0.39359450340270996,4.15,89.0,7.85,autopilot,False,False,False
19,0.41684460639953613,4.2,89.1,7.85,autopilot,False,False,False
20,0.44118213653564453,4.25,89.2,7.85,autopilot,False,False,False
21,0.46442437171936035,4.3,89.3,7.85,autopilot,False,False,False
22,0.4887065887451172,4.34,89.41,7.86,autopilot,False,False,False
23,0.5117900371551514,4.38,89.51,7.86,autopilot,False,False,False
24,0.533383846282959,4.42,89.6,7.86,autopilot,False,False,False
25,0.5563948154449463,4.45,89.7,7.86,autopilot,False,False,False
26,0.579094409942627,4.49,89.81,7.86,autopilot,False,False,False
27,0.6021707057952881,4.52,89.91,7.86,autopilot,False,False,False
28,0.6247847080230713,4.55,90.01,7.87,autopilot,False,False,False
29,0.647819995880127,4.58,90.12,7.87,autopilot,False,False,False
30,0.6705350875854492,4.61,90.22,7.87,autopilot,False,False,False
31,0.6927013397216797,4.63,90.33,7.87,autopilot,False,False,False
32,0.7153332233428955,4.65,90.43,7.87,autopilot,False,False,False
33,0.7387828826904297,4.67,90.54,7.87,autopilot,False,False,False
34,0.7616560459136963,4.69,90.65,7.87,autopilot,False,False,False
35,0.7852210998535156,4.71,90.75,7.88,autopilot,False,False,False
36,0.8093662261962891,4.73,90.85,7.88,autopilot,False,False,False
37,0.831810712814331,4.74,90.98,7.88,autopilot,False,False,False
38,0.8551719188690186,4.76,91.09,7.88,autopilot,False,False,False
39,0.8781230449676514,4.77,91.2,7.88,autopilot,False,False,False
40,0.9021704196929932,4.78,91.31,7.88,autopilot,False,False,False
